rating,title,text,date,country
1,Driver didn't even bother,"Driver didn't even bother trying to deliver the parcel. I was home, we also have an entrance way and stairwell where it would have been safe to leave the parcel, as well as a mailbox out the front of the property. Clearly the driver just took it straight to a drop off point instead of trying to deliver it at all. Customer service was pretty useless too, just told me to leave delivery instructions to help the driver. From now on I'll have to add ""knock on the door"" as their staff seem incapable of doing the most basic tasks without explicit instructions","Jan 30, 2025",AU
2,Poor service,"Used Sendle for over 50 packages during the Canada Post strike.  Pick up did not work - they kept promising next day, but did not show.  Ended up driving to the drop off each time.Very long delivery time, and 3 packages totally lost.  Only ended up with a refund on one - the other canadian one finally got delivered after more than 6 weeks.  The US one -  they failed to take action as they said it was handed off to USPS.  Unable to claim so am hoping it turns up","Jan 31, 2025",CA
1,I took a big loss using Sendle,"Tried using Sendle during the Canada Post strike to send Christmas parcel (book) to friends and paints to customers. I run a small paint store.Five parcels made it over a period of a month. Given it was Christmas season and given Canada Post was on strike I wasn't too upset with one month delivery time as the volume they had to deal with was enormous.The other five parcels completely vanished. No live human to talk to and no one from Sendle is reaching out to us even though we reported the losses over two weeks ago.The Christmas book loss sucks but not too bad, $25 book that I can repurchase and resend with Canada Post. One of the paint order losses was over $300, not to mention a customer who will likely never use our store again.If Canada Post goes on strike again, I will just close down and go fishing before I trust Sendle with any of my parcels again.","Jan 28, 2025",CA
1,The worst shipping experience ever,"The worst shipping experience ever. The subcontror delivery driver didn't even attempt to make the drop off. He must have not seen my number,  showed down on the road without pulling into driveway, then honked(!) once, and sped off without giving me a chance to get to my door. I was baffled. He also marked it return to sender. Ridiculous. Customer service tried to try again, but I am positive the subcontractor never even came back. The store will be receiving my package again and will use a different shipping company.","Jan 18, 2025",CA
1,Never Sendle,"Never Sendle! Even if you're trying to save money. Customer service will take over 24hrs to respond and will not do anything to track your shipment. Sent 3 shipments, lost all of them. No compensation for recovery.","Jan 20, 2025",CA
1,Even if Sendle was free - don't do it,"Even if Sendle was free, it's not worth the stress of its terrible service. They also seem to seek out the worst Courier partners, wherever they operate in the world, just read the other reviews. Generally they seem to partner with Couriers who just never pick up parcels from hubs, lose or destroy the parcels they do pick up, or have sub-human social skills when interacting with any other humans along the way. Customer Service agents are also not armed with much information or recourse to help customers because Sendle clearly has very few remediation processes or options for Customers that they are willing to undertake, meaning Service Agents bear the brunt of Customer frustration from all over the world. Can't imagine how thin their service playbook would be.Some super weird questions/quotes from them in providing 'solutions' to complaints/queries include:[Destroyed parcel] ""Do you have a picture of what the parcel originally looked like before this happened?""[Courier yelled at receptionist] ""Sorry about that. Is there anything else I can help you with today?""[parcel not picked up from hub in over 4 weeks] ""Have you tried getting it back and using someone else?""Truly chaotic.They position themselves as providing a cost-effective alternative to well established postal and courier services...but instead just illustrate that a 5% saving for rock bottom reliability and service is just not worth the hours of you'll lose out of your life.","Jan 22, 2025",AU
2,The driver didn't deliver the package…,"The driver didn't deliver the package at my door; they left it downstair, right by an unlocked door, a place everybody has access to.","Jan 16, 2025",CA
1,Lost package a month ago,Lost package a month agoWon’t do a refundThis business is a total scam in Canada,"Jan 29, 2025",CA
1,Package Not Picked Up for Over a Month,I sent a parcel over a month ago and it has STILL NOT BEEN PICKED UP! I dropped it off at one of their drop off locations. It was also recommended that you drop it off rather than get them to pick it from you directly due to the high volume of packages in Canada. I have reached out to support many times and they refuse to tell me when it will be picked up. They also recommended I go and get the parcel and ship it with someone else. Your whole business is to ship things...and you can't even do that. The vagueness in the customer response replies is also so infuriating.,"Jan 16, 2025",CA
5,Sending 100+ Parcels a Day And No problems,"We are a very large ecommerce brand and switched to Sendle from CP during the postal strike. We ship over 100+ parcels per day with Sendle. The experience has been great. Sendle customer service is amazing, responds within minutes and is actually helpful. This is unheard of compared to Purolator or Canada Post customer service which takes days or weeks to get back to you. About 98% of deliveries are completed on time.","Dec 17, 2024",CA
1,They got my address horrifically wrong,"They got my address wrong, had a city that didn't even exist, even though sender gave them the correct address. Apparently they can't google even Google a postal code. Pathetic","Jan 15, 2025",CA
