rating,title,text,date,processed_text
1,Driver didn't even bother,"Driver didn't even bother trying to deliver the parcel. I was home, we also have an entrance way and stairwell where it would have been safe to leave the parcel, as well as a mailbox out the front of the property. Clearly the driver just took it straight to a drop off point instead of trying to deliver it at all. Customer service was pretty useless too, just told me to leave delivery instructions to help the driver. From now on I'll have to add ""knock on the door"" as their staff seem incapable of doing the most basic tasks without explicit instructions",12 hours ago,driver even bother trying deliver parcel home also entrance way stairwell would safe leave parcel well mailbox front property clearly driver took straight drop point instead trying deliver customer service pretty useless told leave delivery instruction help driver add knock door staff seem incapable basic task without explicit instruction
1,I took a big loss using Sendle,"Tried using Sendle during the Canada Post strike to send Christmas parcel (book) to friends and paints to customers. I run a small paint store.Five parcels made it over a period of a month. Given it was Christmas season and given Canada Post was on strike I wasn't too upset with one month delivery time as the volume they had to deal with was enormous.The other five parcels completely vanished. No live human to talk to and no one from Sendle is reaching out to us even though we reported the losses over two weeks ago.The Christmas book loss sucks but not too bad, $25 book that I can repurchase and resend with Canada Post. One of the paint order losses was over $300, not to mention a customer who will likely never use our store again.If Canada Post goes on strike again, I will just close down and go fishing before I trust Sendle with any of my parcels again.",2 days ago,tried using sendle canada post strike send christmas parcel book friend paint customer run small paint parcel made period month given christmas season given canada post strike upset one month delivery time volume deal five parcel completely vanished live human talk one sendle reaching u even though reported loss two week christmas book loss suck bad 25 book repurchase resend canada post one paint order loss 300 mention customer likely never use store canada post go strike close go fishing trust sendle parcel
5,Sending 100+ Parcels a Day And No problems,"We are a very large ecommerce brand and switched to Sendle from CP during the postal strike. We ship over 100+ parcels per day with Sendle. The experience has been great. Sendle customer service is amazing, responds within minutes and is actually helpful. This is unheard of compared to Purolator or Canada Post customer service which takes days or weeks to get back to you. About 98% of deliveries are completed on time.","Dec 17, 2024",large ecommerce brand switched sendle cp postal strike ship parcel per day sendle experience great sendle customer service amazing responds within minute actually helpful unheard compared purolator canada post customer service take day week get back 98 delivery completed time
1,Never Sendle,"Never Sendle! Even if you're trying to save money. Customer service will take over 24hrs to respond and will not do anything to track your shipment. Sent 3 shipments, lost all of them. No compensation for recovery.","Jan 20, 2025",never sendle even trying save money customer service take 24hrs respond anything track shipment sent 3 shipment lost compensation recovery
1,The worst shipping experience ever,"The worst shipping experience ever. The subcontror delivery driver didn't even attempt to make the drop off. He must have not seen my number,  showed down on the road without pulling into driveway, then honked(!) once, and sped off without giving me a chance to get to my door. I was baffled. He also marked it return to sender. Ridiculous. Customer service tried to try again, but I am positive the subcontractor never even came back. The store will be receiving my package again and will use a different shipping company.","Jan 18, 2025",worst shipping experience ever subcontror delivery driver even attempt make drop must seen number showed road without pulling driveway honked sped without giving chance get door baffled also marked return sender ridiculous customer service tried try positive subcontractor never even came back store receiving package use different shipping company
2,The driver didn't deliver the package…,"The driver didn't deliver the package at my door; they left it downstair, right by an unlocked door, a place everybody has access to.","Jan 16, 2025",driver deliver package door left downstair right unlocked door place everybody access
5,i think service varies a lot depending on area,"It's my first time using sendle, and if things go this well everytime, i will absolutely switch to them as my primary shipping company!Booked a pickup yesterday evening for today, the driver has already picked up my parcel and he was an absolute joy to interact with. Rates are also more affordable than Canada Post, which is nice. I guess service depends on where you live, because Australia reviews seem to be incredibly bad; which had made me nervous to try them out at first. I'm glad i still did. If you reside in QC or Ontario, i think this company is absolutely worth trying out!","Dec 6, 2024",first time using sendle thing go well everytime absolutely switch primary shipping company booked pickup yesterday evening today driver already picked parcel absolute joy interact rate also affordable canada post nice guess service depends live australia review seem incredibly bad made nervous try first glad still reside qc ontario think company absolutely worth trying
5,Amazing Job!,"Since CP is on strike, I decided to use SENDLE for the first time and ship a parcel from London, Ontario to Quebec. The whole shipping process was so easy! I printed my label and used a drop off location they suggested which was super convenient and could track it the entire time! I dropped it off on a Saturday and it was picked up first thing Monday morning and arrived in Quebec 2 days later. Amazing Job! Will definitely use them again!","Dec 4, 2024",since cp strike decided use sendle first time ship parcel london ontario quebec whole shipping process easy printed label used drop location suggested super convenient could track entire time dropped saturday picked first thing monday morning arrived quebec 2 day later amazing job definitely use
1,Even if Sendle was free - don't do it,"Even if Sendle was free, it's not worth the stress of its terrible service. They also seem to seek out the worst Courier partners, wherever they operate in the world, just read the other reviews. Generally they seem to partner with Couriers who just never pick up parcels from hubs, lose or destroy the parcels they do pick up, or have sub-human social skills when interacting with any other humans along the way. Customer Service agents are also not armed with much information or recourse to help customers because Sendle clearly has very few remediation processes or options for Customers that they are willing to undertake, meaning Service Agents bear the brunt of Customer frustration from all over the world. Can't imagine how thin their service playbook would be.Some super weird questions/quotes from them in providing 'solutions' to complaints/queries include:[Destroyed parcel] ""Do you have a picture of what the parcel originally looked like before this happened?""[Courier yelled at receptionist] ""Sorry about that. Is there anything else I can help you with today?""[parcel not picked up from hub in over 4 weeks] ""Have you tried getting it back and using someone else?""Truly chaotic.They position themselves as providing a cost-effective alternative to well established postal and courier services...but instead just illustrate that a 5% saving for rock bottom reliability and service is just not worth the hours of you'll lose out of your life.","Jan 22, 2025",even sendle free worth stress terrible service also seem seek worst courier partner wherever operate world read review generally seem partner courier never pick parcel hub lose destroy parcel pick social skill interacting human along way customer service agent also armed much information recourse help customer sendle clearly remediation process option customer willing undertake meaning service agent bear brunt customer frustration world ca imagine thin service playbook would super weird providing include destroyed parcel picture parcel originally looked like happened courier yelled receptionist sorry anything else help today parcel picked hub 4 week tried getting back using someone else truly position providing alternative well established postal courier service instead illustrate 5 saving rock bottom reliability service worth hour lose life
1,Lost package a month ago,Lost package a month agoWon’t do a refundThis business is a total scam in Canada,A day ago,lost package month agowon refundthis business total scam canada
2,Like many people on here used Sendle…,"Like many people on here used Sendle for my business and while the CP strike is on.  I love their pricing!  Very affordable.  However, like someone else mentioned.  I sent an expensive order out to a customer.  It got lost in transit and was showing it hadn't been sent. I've contacted them three times.  Still has not been resolved.  The order was lost and no one has contacted me. My customer is angry, rightfully so.  Now I have to replace the order again for another $200 + shipping again!   Not happy. I wished someone would provide a contact number so this could be resolved. Or provide me with a resolution and compensation for them losing my package.","Updated Dec 15, 2024",like many people used sendle business cp strike love pricing affordable however like someone else mentioned sent expensive order customer got lost transit showing sent contacted three time still resolved order lost one contacted customer angry rightfully replace order another 200 shipping happy wished someone would provide contact number could resolved provide resolution compensation losing package
1,Package Not Picked Up for Over a Month,I sent a parcel over a month ago and it has STILL NOT BEEN PICKED UP! I dropped it off at one of their drop off locations. It was also recommended that you drop it off rather than get them to pick it from you directly due to the high volume of packages in Canada. I have reached out to support many times and they refuse to tell me when it will be picked up. They also recommended I go and get the parcel and ship it with someone else. Your whole business is to ship things...and you can't even do that. The vagueness in the customer response replies is also so infuriating.,"Jan 16, 2025",sent parcel month ago still picked dropped one drop location also recommended drop rather get pick directly due high volume package canada reached support many time refuse tell picked also recommended go get parcel ship someone else whole business ship thing ca even vagueness customer response reply also infuriating
