rating,title,text,date,country
2,Where's My Stuff,Seems they can never deliver on time. Recently I tracked a Fed Ex truck to my building and yet a package was not delivered. Today I was given a specific delivery time between 11am - 1pm however at 1pm the delivery now reads By End of Day. A couple of years ago a driver drove off with my delivery and was under investigation by the end of the day having stolen a package valued at $800.,13 hours ago,US
1,Had a priority overnight package go out…,Had a priority overnight package go out on Tuesday afternoon at 2pm that didn’t arrive until Thursday after 9pm….& this isn’t the 1st time this has happened. You’re wasting your money trusting FedEx with priority overnight. They’re terrible….& unfortunately there’s nothing you can do about it. Great job FedEx! Keep up the below average work.,7 hours ago,US
1,Absolutely awful,"Absolutely awful. Still waiting ……. 3 so called attempts to deliver even though we were at home waiting for this much anticipated parcel. Rarely write these reviews but incensed by lack of care, communication and truth from fed ex. Joke of a company who clearly fail the companies that use them to deliver. Avoid them like the plague",2 hours ago,GB
1,No Accountability at FedEx,"My FedEx package originated in South Carolina (on the East Coast) on 1/22/25 and my package made it to my home state of California on 1/25/25.  My package got left on the truck in California and went all the way back to Pennsylvania - back to the East Coast!  Now it will take even longer to receive my package.  This is not the end of the world; however, their customer service would not even admit they made an error.  Even FedEx doesn't believe in accountability...",8 hours ago,US
1,HOW IS FEDEX STILL IN BUSINESS?,TERRIBLE EXPERIENCES ALWAYS!! 2ND TIME I HAD TO SPEND MY EVENING DRIVING UP AND DOWN MY STREET OF 200 HOUSES LOOKING FOR MY PACKAGE THAT WAS DELIVERED TO THE WRONG ADDRESS—DESPITE HAVING MY ADDRESS RIGHT ON THE FRONT OF THE BOX!! IT BLOWS MY MIND. HOW HARD IS IT TO READ A NUMBER AND MATCH THAT NUMBER TO A HOUSE!! $1000 WORTH OF MERCHANDISE CARELESSLY DROPPED OFF AT A COMPLETELY DIFFERENT HOUSE NUMBER. LUCKILY THEY WERE HONEST PEOPLE. 23 HOUSES DOWN AND I FOUND MY PACKAGE BY MATCHING THE PROOF OF DELIVERY PHOTO. UNACCEPTABLE!!!!! GET OFF YOUR PHONES DRIVERS AND DO YOUR JOB!,2 hours ago,CA
1,Fed Ex remains the worse service ever,"Fed Ex remains the worse service ever. The driver leaves packages where ever they desire. By the side of the road,  blocking entrance to driveways and never follow written instructions as given. Obviously to their clients,  it consistently indicates a definite snafu. What a sad world we live in to purchase a packaging service and they literally destroy your merchandises. Please do not use this carrier.",Updated a day ago,US
1,Non delivery AVOID Disgusting service item was delivered…,Disgusting service item was delivered to someone else. Fed ex stated wrong delivery label was generated told me to contact abuse fedx no such email. Gave me a case reference number 3 months later no reply refund or goods.,2 days ago,GB
1,Utterly useless,"Utterly useless. Tried to return a suitcase of personal items from the Caribbean to the UK - FedEx added nearly £200 in the UK before they would release the effects to me.Useless, irritating, stressful, and NEVER AGAIN! Do not use them for anything, please - do yourselves a favour. Their advice is wrong, they cannot even quantify the charges, some of the more empathetic staff agreed that the situation was awful ""but there's nothing I can do.""Even the shipping centre I went to in the Caribbean told me to fill in a Commercial Invoice. For personal effects? Really? I think you'll find that's a proforma and always has been.Use a broker, would be my advice. Never ship personal items with FedEx.",20 hours ago,GB
1,This is THE WORST shipping company…,"This is THE WORST shipping company around. In the past, they were constantly leaving our packages at our neighbors even though we had TWO house numbers on our house. They get their truck stuck at the bottom of the drive turning around in areas they shouldn't. And now they've taken ten days and counting to deliver us a package from Pittsburgh 1 hour south to Morgantown WV. I just looked it up and it currently went from Morgantown to Columbus,OH.",1 days ago,US
1,Just don't use them,"Fed ex is a useless courier, you can't even redirect a package and customer support just lie to you by saying they have actioned any problems you have. They love to give packages to their ""trusty third party courier"" which is Hermes, who seem to have no idea how to handle and deliver packages. They stated my ""parcel was refused on delivery"", excuse me? Come say that to my face you useless delivery driver! They didn't even show up to my door.Don't waste time with these clowns, pay for another courier which can actually find your house.",2 days ago,GB
1,"No call, no delivery, no communication, nothing.","The only unfortunate time I had to deal with FedEx, they just skipped my delivery claiming a false/incorrect address.I had to call the sender and made sure the address is correct so I have no idea what the hell FedEx is doing to miss an abvious address. And the worst part is that they didn't even bother to call or even inform me that a delivery attempt will be made even though it's a big box. Now, I'll just have my week ruined waiting at home for a delivery that I may never get.FedEx should probably get some resources to teach some of their delivery people how to read addresses. Sounds sarcastic but we're at that point.",1 days ago,CA
1,Fed Ex is the worst delivery company,"Fed Ex is the worst delivery company I have ever experienced. They failed to deliver a package on the first day according to their notification. The second day I received a notification stating I wasn't available to receive the packager. There was no door tag for the missed delivery.  I was home the entire day!  My window has a view of my front door and the street.  The deliver driver did not even attempt to deliver the package for two days. When I called customer service the guy who could barley speak English insinuated I should make myself more available to receive the package like i was my fault the delivery diver skipped the delivery twice. Fed Ex, your employees are a reflection of company's ethics and reputation, which is as hirable as it gets.",9 hours ago,CA
1,I wish I had read these reviews before…,"I wish I had read these reviews before sending my parcel. This is the worst courier company i have ever used in my life. I paid £70 for a UK to France delivery in 1-2 days, I was sending gifts and included on the front of my package the proforma invoice as requested. I have since been asked to pay duty, then been told I don't have to, been told to email customer service who will reply in 5-10days about a 2 day delivery. The tracking tells me a different day as do customer service, on day 4 no package, no help.utterly disgraceful!Never again",2 days ago,GB
